Wavelength [nm], Absolute Responsivity [A/W], Quantum Efficiency [electron/photon], Relative Uncertainty [%]
80.0,0.1282,1.0,0.01204
81.8,0.12312,1.0,0.010188
84.4,0.12112,1.0,0.009888
86.5,0.11248,1.0,0.009762
88.6,0.11176,1.0,0.009744
92.0,0.113,1.0,0.00984
116.4,0.10984,1.0,0.014319
118.0,0.10412,1.0,0.013572
121.6,0.10544,1.0,0.014139
125.4,0.11172,1.0,0.003306
135.4,0.12424,1.0,0.003122
140.3,0.12648,1.0,0.002964
144.1,0.12924,1.0,0.002862
148.7,0.12988,1.0,0.002714
154.5,0.137,1.0,0.002614
160.8,0.138,1.0,0.002492
164.8,0.135,1.0,0.002376
170.0,0.128,1.0,0.002182
175.0,0.123,1.0,0.00208
182.3,0.12,1.0,0.001986
187.9,0.119,1.0,0.001952
193.7,0.114,1.0,0.001906
200.0,0.108,1.0,0.001842
206.7,0.103,1.0,0.001784
213.8,0.103,1.0,0.001766
221.4,0.0993,1.0,0.0017
229.6,0.101,1.0,0.00177
238.5,0.104,1.0,0.001804
253.7,0.0899,1.0,0.001548
